Got telemetry 184,0.00,27.00,99856.15,95.98,19.00,0.00,0.00,,,,,
255/697,0.00,27.00,99898.98,92.37,28.00,0.00,0.00,40.36,49.97,13730,300818,17503600Got telemetry 697,0.00,27.00,99898.98,92.37,28.00,0.00,0.00,40.36,49.97,13730,300818,17503600
255/698,0.00,27.00,99894.59,92.74,28.00,0.00,0.00,40.36,49.97,13730,300818,17503700Got telemetry 698,0.00,27.00,99894.59,92.74,28.00,0.00,0.00,40.36,49.97,13730,300818,17503700
255/699,0.00,27.00,99890.20,93.11,29.00,0.00,0.00,,,,,Got telemetry 699,0.00,27.00,99890.20,93.11,29.00,0.00,0.00,,,,,
255/700,0.00,27.00,99888.37,93.26,29.00,0.00,0.00,,,,,Got telemetry 700,0.00,27.00,99888.37,93.26,29.00,0.00,0.00,,,,,
255/701,0.00,26.00,99606.57,117.04,20.00,0.00,0.00,,,,,Got telemetry 701,0.00,26.00,99606.57,117.04,20.00,0.00,0.00,,,,,
255/702,0.00,26.00,99603.64,117.29,20.00,0.00,0.00,,,,,Got telemetry 702,0.00,26.00,99603.64,117.29,20.00,0.00,0.00,,,,,
255/703,0.00,27.00,99887.63,93.33,20.00,0.00,0.00,,,,,Got telemetry 703,0.00,27.00,99887.63,93.33,20.00,0.00,0.00,,,,,
255/704,0.00,27.00,99889.46,93.17,20.00,0.00,0.00,,,,,Got telemetry 704,0.00,27.00,99889.46,93.17,20.00,0.00,0.00,,,,,
255/705,0.00,27.00,99886.90,93.39,19.00,0.00,0.00,,,,,Got telemetry 705,0.00,27.00,99886.90,93.39,19.00,0.00,0.00,,,,,
255/706,0.00,27.00,99886.90,93.39,19.00,0.00,0.00,,,,,Got telemetry 706,0.00,27.00,99886.90,93.39,19.00,0.00,0.00,,,,,
255/707,0.00,26.00,99607.30,116.98,37.00,0.00,0.00,,,,,Got telemetry 707,0.00,26.00,99607.30,116.98,37.00,0.00,0.00,,,,,
255/708,0.00,26.00,99607.30,116.98,37.00,0.00,0.00,,,,,Got telemetry 708,0.00,26.00,99607.30,116.98,37.00,0.00,0.00,,,,,
255/709,0.00,27.00,99882.51,93.76,25.00,0.00,0.00,,,,,Got telemetry 709,0.00,27.00,99882.51,93.76,25.00,0.00,0.00,,,,,
255/710,0.00,27.00,99885.44,93.51,25.00,0.00,0.00,,,,,Got telemetry 710,0.00,27.00,99885.44,93.51,25.00,0.00,0.00,,,,,
255/711,0.00,29.00,100449.18,46.11,29.00,0.00,0.00,,,,,Got telemetry 711,0.00,29.00,100449.18,46.11,29.00,0.00,0.00,,,,,
255/712,0.00,29.00,100445.13,46.45,29.00,0.00,0.00,,,,,Got telemetry 712,0.00,29.00,100445.13,46.45,29.00,0.00,0.00,,,,,
255/713,0.00,27.00,99884.70,93.57,19.00,0.00,0.00,,,,,Got telemetry 713,0.00,27.00,99884.70,93.57,19.00,0.00,0.00,,,,,
255/714,0.00,27.00,99880.68,93.91,19.00,0.00,0.00,,,,,Got telemetry 714,0.00,27.00,99880.68,93.91,19.00,0.00,0.00,,,,,
255/715,0.00,27.00,99881.41,93.85,19.00,0.00,0.00,,,,,Got telemetry 715,0.00,27.00,99881.41,93.85,19.00,0.00,0.00,,,,,
255/716,0.00,27.00,99884.34,93.60,19.00,0.00,0.00,40.36,49.97,13700,300818,17505700Got telemetry 716,0.00,27.00,99884.34,93.60,19.00,0.00,0.00,40.36,49.97,13700,300818,17505700
255/717,0.00,27.00,99875.19,94.37,93.00,0.00,0.00,,,,,Got telemetry 717,0.00,27.00,99875.19,94.37,93.00,0.00,0.00,,,,,
255/718,0.00,27.00,99879.95,93.98,93.00,0.00,0.00,,,,,Got telemetry 718,0.00,27.00,99879.95,93.98,93.00,0.00,0.00,,,,,
255/719,0.00,26.00,99599.98,117.59,31.00,0.00,0.00,,,,,Got telemetry 719,0.00,26.00,99599.98,117.59,31.00,0.00,0.00,,,,,
255/720,0.00,26.00,99600.73,117.53,31.00,0.00,0.00,,,,,Got telemetry 720,0.00,26.00,99600.73,117.53,31.00,0.00,0.00,,,,,
255/721,0.00,26.00,99603.28,117.32,20.00,0.00,0.00,,,,,Got telemetry 721,0.00,26.00,99603.28,117.32,20.00,0.00,0.00,,,,,
255/722,0.00,26.00,99602.19,117.41,20.00,0.00,0.00,,,,,Got telemetry 722,0.00,26.00,99602.19,117.41,20.00,0.00,0.00,,,,,
255/723,0.00,27.00,99882.88,93.73,19.00,0.00,0.00,40.36,49.97,13700,300818,17510500Got telemetry 723,0.00,27.00,99882.88,93.73,19.00,0.00,0.00,40.36,49.97,13700,300818,17510500
255/724,0.00,27.00,99885.80,93.48,19.00,0.00,0.00,40.36,49.97,13700,300818,17510600Got telemetry 724,0.00,27.00,99885.80,93.48,19.00,0.00,0.00,40.36,49.97,13700,300818,17510600
255/725,0.00,26.00,99599.63,117.63,23.00,0.00,0.00,,,,,Got telemetry 725,0.00,26.00,99599.63,117.63,23.00,0.00,0.00,,,,,
255/726,0.00,26.00,99600.73,117.53,23.00,0.00,0.00,,,,,Got telemetry 726,0.00,26.00,99600.73,117.53,23.00,0.00,0.00,,,,,
255/727,0.00,26.00,99599.98,117.59,20.00,0.00,0.00,,,,,Got telemetry 727,0.00,26.00,99599.98,117.59,20.00,0.00,0.00,,,,,
255/728,0.00,26.00,99599.63,117.63,20.00,0.00,0.00,,,,,Got telemetry 728,0.00,26.00,99599.63,117.63,20.00,0.00,0.00,,,,,
255/729,0.00,26.00,99597.07,117.84,20.00,0.00,0.00,,,,,Got telemetry 729,0.00,26.00,99597.07,117.84,20.00,0.00,0.00,,,,,
255/730,0.00,26.00,99591.59,118.31,20.00,0.00,0.00,,,,,Got telemetry 730,0.00,26.00,99591.59,118.31,20.00,0.00,0.00,,,,,
255/731,0.00,26.00,99598.16,117.75,20.00,0.00,0.00,,,,,Got telemetry 731,0.00,26.00,99598.16,117.75,20.00,0.00,0.00,,,,,
